vcf_sample	bed_sample
SAMEA111507546	SAMEA111508485-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507547	SAMEA111508488-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507548	SAMEA111508491-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507549	SAMEA111508494-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507550	SAMEA111508497-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507551	SAMEA111508500-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507552	SAMEA111508503-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507553	SAMEA111508506-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507554	SAMEA111508509-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507555	SAMEA111508512-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507556	SAMEA111508515-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507557	SAMEA111508518-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507558	SAMEA111508521-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507559	SAMEA111508524-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507560	SAMEA111508527-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507561	SAMEA111508530-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507562	SAMEA111508533-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507563	SAMEA111508536-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507564	SAMEA111508539-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507565	SAMEA111508542-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507566	SAMEA111508545-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507567	SAMEA111508548-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507568	SAMEA111508551-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507569	SAMEA111508554-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507570	SAMEA111508557-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507571	SAMEA111508560-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507572	SAMEA111508563-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507573	SAMEA111508566-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507574	SAMEA111508569-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507575	SAMEA111508572-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507576	SAMEA111508575-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507577	SAMEA111508578-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507578	SAMEA111508581-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507579	SAMEA111508584-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507580	SAMEA111508587-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507581	SAMEA111508590-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507582	SAMEA111508593-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507583	SAMEA111508596-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507584	SAMEA111508599-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507585	SAMEA111508602-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507586	SAMEA111508605-STARAligned.sortedByCoord.out.unique_rg_added.dedup
